date,product_id,product_name,category,current_price,competitor_price,cost,day_of_week,month,is_weekend,is_festival,inventory_level,customer_segment,demand,revenue,profit
2025-07-01,P009,Smart Watch,Electronics,4718,4970,3000,1,7,0,0,Medium,Standard,63,297234,108234
2025-07-01,P010,Bluetooth Speaker,Electronics,2055,2328,1140,1,7,0,0,Medium,Standard,58,119190,53070
2025-07-01,P005,Webcam HD,Electronics,1902,1635,1200,1,7,0,0,High,Budget,0,0,0
2025-07-01,P005,Webcam HD,Electronics,2077,2004,1200,1,7,0,0,High,Premium,32,66464,28064
2025-07-01,P010,Bluetooth Speaker,Electronics,2042,2332,1140,1,7,0,0,Low,Premium,61,124562,55022
2025-07-01,P004,Laptop Stand,Accessories,934,823,540,1,7,0,0,Medium,Standard,36,33624,14184
2025-07-01,P003,Mechanical Keyboard,Electronics,3513,3893,2100,1,7,0,0,Low,Budget,79,277527,111627
2025-07-01,P005,Webcam HD,Electronics,2029,2173,1200,1,7,0,0,Medium,Budget,33,66957,27357
2025-07-01,P007,Power Bank,Electronics,1548,1370,900,1,7,0,0,High,Premium,42,65016,27216
2025-07-01,P007,Power Bank,Electronics,1514,1558,900,1,7,0,0,Medium,Standard,45,68130,27630
2025-07-01,P009,Smart Watch,Electronics,4666,4200,3000,1,7,0,0,Low,Standard,8,37328,13328
2025-07-01,P004,Laptop Stand,Accessories,858,856,540,1,7,0,0,Low,Standard,42,36036,13356
2025-07-01,P005,Webcam HD,Electronics,1881,2017,1200,1,7,0,0,Low,Premium,57,107217,38817
2025-07-01,P009,Smart Watch,Electronics,5122,5093,3000,1,7,0,0,Medium,Premium,62,317564,131564
2025-07-02,P001,Wireless Headphones,Electronics,2728,2489,1500,2,7,0,0,Medium,Standard,0,0,0
2025-07-02,P008,USB Cable,Accessories,308,351,120,2,7,0,0,Medium,Budget,62,19096,11656
2025-07-02,P006,Phone Case,Accessories,542,497,200,2,7,0,0,Medium,Budget,59,31978,20178
2025-07-02,P002,Gaming Mouse,Electronics,1199,1117,780,2,7,0,0,Medium,Standard,29,34771,12151
2025-07-02,P003,Mechanical Keyboard,Electronics,3848,3580,2100,2,7,0,0,Medium,Standard,0,0,0
2025-07-02,P002,Gaming Mouse,Electronics,1372,1242,780,2,7,0,0,Medium,Premium,19,26068,11248
2025-07-02,P008,USB Cable,Accessories,315,269,120,2,7,0,0,Medium,Standard,57,17955,11115
2025-07-02,P007,Power Bank,Electronics,1472,1281,900,2,7,0,0,Medium,Budget,4,5888,2288
2025-07-02,P009,Smart Watch,Electronics,5276,4842,3000,2,7,0,0,Low,Premium,7,36932,15932
2025-07-02,P008,USB Cable,Accessories,309,267,120,2,7,0,0,Medium,Premium,61,18849,11529
2025-07-02,P009,Smart Watch,Electronics,4628,4531,3000,2,7,0,0,Medium,Premium,30,138840,48840
2025-07-03,P005,Webcam HD,Electronics,1963,1679,1200,3,7,0,0,Low,Standard,11,21593,8393
2025-07-03,P007,Power Bank,Electronics,1398,1412,900,3,7,0,0,Medium,Standard,50,69900,24900
